Initials,Date,Course ID,Time (min),Summary
DMB,1/11/2022,ECON-232-01,35,Caught up over missed material Monday and started review for Friday's quiz
DMB,1/11/2022,DS-160-01,90,Caught up missed material from Monday and read for Wednesday's class
DMB,1/11/2022,MATH-340-01,30,Read over material discussed on Monday and will also be discussed on Wednesday
DMB,1/13/2022,ECON-232-01,20,Look over practice example and checked classroom forum 
DMB,1/14/2022,MATH-340-01,20,Finish taking notes on material missed from Monday's appointment
DMB,1/17/2022,MATH-315-01,40,Begin/Do all the HW problems that don't require me to look at notes
DMB,1/17/2022,ECON-232-01,120,Prepare for Quiz 1 on Wednesday
DMB,1/18/2022,MATH-340-01,20,Look over notes from first module in preparation for quiz
DMB,1/18/2022,DS-160-01,30,Read Chapter 3 for class
DMB,1/18/2022,DS-160-01,20,Finish setting up GitHub Repository and uploading assignment
DMB,1/18/2022,ECON-232-01,120,Study for quiz
DMB,1/18/2022,MATH-340-01,60,Study for quiz
DMB,1/23/2022,ECON-232-01,120,Study for quiz on Monday
DMB,1/23/2022,DS-160-01,30,Finish reading Chapter 3
DMB,1/24/2022,DS-160-01,10,Double check Anaconda is on my computer
DMB,1/27/2022,COMM-205-01,40,Take the Take Home Test
DMB,1/30/2022,MATH-340-01,90,Take notes on online lecture
DMB,2/1/2022,MATH-340-01,60,Homework 3
DMB,2/4/2022,ECON-232-01,45,Homework 1
DMB,2/6/2022,MATH-340-01,20,Study for quiz
DMB,2/6/2022,MATH-315-01,60,Begin studying for Test 1
DMB,2/7/2022,MATH-315-01,60,Study for Test 1
DMB,2/8/2022,MATH-315-01,180,Study for Test 1
DMB,2/8/2022,DS-160-01,120,IP2
DMB,2/9/2022,DS-160-01,30,Finish IP2
DMB,2/10/2022,COMM-205-01,30,Create Resume
DMB,2/15/2022,MATH-315-01,90,HW
DMB,2/17/2022,DS-160-01,120,IP3
DMB,2/18/2022,ECON-232-01,55,Test 1
DMB,2/19/2022,COMM-205-01,20,Start Cover Letter
DMB,2/21/2022,MATH-315-01,120,Study for Midterm
DMB,2/23/2022,DS-160-01,90,Begin Essay Exam 1
DMB,2/24/2022,MATH-340-01,120,Study for Midterm
DMB,2/25/2022,DS-160-01,60,Finish Essay 1 and Study for Written Portion
DMB,2/25/2022,DS-160-01,20,Communicate and Figure Out Data for Team Project
DMB,2/26/2022 - 3/6/2022,,,Took Time Away from Schoolwork
DMB,3/7/2022,COMM-205-01,30,Finish Cover Letter
DMB,3/8/2022,DS-160-01,50,Meet with Joshua and start TP1
DMB,3/8/2022,MATH-315-01,120,Finish HW
DMB,3/10/2022,DS-160-01,60,Continue TP1 
DMB,3/12/2022,DS-160-01,120,Teams meeting and finish TP1
DMB,3/13/2022,MATH-340-01,30,Study for quiz on Monday
DMB,3/14/2022,COMM-205-01,60,Complete Infographic
DMB,3/15/2022,MATH-315-01,60,Begin Studying for Test 2
DMB,3/16/2022,DS-160-01,30,Talk to Joshua about TP2
DMB,3/17/2022,MATH-315-01,120,Study for Test 2
DMB,3/18/2022,MATH-340-01,30,Study for Quiz 7
DMB,3/21/2022,MATH-315-01,90,HW
DMB,3/23/2022,DS-160-01,60,Work with Joshua on TP2
DMB,3/24/2022,DS-160-01,90,Finish TP2
DMB,3/24/2022,MATH-340-01,30,Study for Quiz
DMB,3/28/2022,MATH-340-01,30,Study for Quiz
DMB,3/29/2022,MATH-315-01,90,Finish HW
DMB,3/30/2022,COMM-205-01,60,Complete Partner Test
DMB,3/31/2022,MATH-340-01,20,Study for Quiz
DMB,3/31/2022,DS-160-01,60,Begin IP4
DMB,4/4/2022,MATH-315-01,30,Begin HW
DMB,4/5/2022,DS-160-01,60,Finish IP4
DMB,4/5/2022,MATH-315-01,60,Finish HW
DMB,4/7/2022,MATH-340-01,30,Study for Quiz
DMB,4/8/2022,COMM-205-01,120,Meet and go over Group Presentation
